Full,Name,bSIE,qSIE,PASIE,LSIE/LdV,bLTM,gammaLTM,PAgLTM,LLTM/LdV,Nsrc,Ring?,Good?,ID,zFG,zBG,Re,R_pred,delta_pct
39,J1213+6708,1.42,0.83,14.5,0.297,1.38,0.02,164.6,0.292,1,No,Yes,39,0.1679,0.4394,1.46,1.377775113373917e-09,99.9999999029736
40,J1218+0830,1.45,0.75,51.5,0.3,1.44,0.03,54.9,0.299,1,No,Yes,40,0.2822,0.553,1.59,1.4949009909655757e-09,99.99999989690338
41,J1250+0523,1.13,0.96,130.8,0.366,1.11,0.01,140.5,0.362,5,Yes,Yes,41,0.1912,0.696,1.77,1.6708282043986145e-09,99.9999998521391
42,J1251-0208,0.84,0.67,33.9,0.218,0.85,0.07,156.5,0.221,2,No,No,42,0.1589,0.2764,4.94,4.6526464263527296e-09,99.99999944611353
43,J1402+6321,1.35,0.83,64.4,0.316,1.36,0.02,34.4,0.317,2,Yes,Yes,43,0.1045,0.6154,1.56,1.4804249657211233e-09,99.99999989033888
44,J1403+0006,0.83,0.81,140.8,0.354,0.83,0.05,169.4,0.354,4,Yes,Yes,44,0.1574,0.2512,2.73,2.5695133592874586e-09,99.99999969042008
45,J1416+5136,1.37,0.94,71.4,0.483,1.36,0.04,96.7,0.482,3,No,Yes,45,0.1334,0.329,0.81,7.652363207917407e-10,99.99999994414333
46,J1420+6019,1.04,0.67,111.3,0.329,1.07,0.01,108.7,0.335,2,Yes,Yes,46,0.0668,0.3627,2.4,2.2869199668543007e-09,99.99999978010385
48,J1432+6317,1.26,0.96,130.4,0.153,1.25,0.01,152,0.151,2,No,Yes,48,0.1025,0.7584,1.03,9.779923369120003e-10,99.99999992238156
49,J1436-0000,1.12,0.72,156.2,0.315,1.08,0.07,162.6,0.308,1,No,Yes,49,0.3171,0.8581,2.24,2.1076425741391543e-09,99.99999981181763
50,J1443+0304,0.81,0.73,78.1,0.438,0.78,0.08,97.9,0.427,1,No,Yes,50,0.1582,0.7353,1.95,1.843909160772237e-09,99.99999977235689
51,J1451-0239,1.04,0.97,106.3,0.277,1.03,0.02,113.8,0.274,1,No,Yes,51,0.0955,0.4069,1.68,1.5943372521802647e-09,99.99999984669834
